StopPointId;StopPointName;Latitude;Longitude
430309000;Bad Vöslau Bahnhof;47.969533;16.223929
430310100;Baden bei Wien Bahnhof;48.004060;16.242735
430327900;Deutsch-Wagram Bahnhof;48.303014;16.563982
430331800;Ebenfurth Bahnhof;47.877573;16.361851
430349900;Gerasdorf bei Wien Bahnhof;48.293315;16.483736
430362200;Gänserndorf Bahnhof;48.340239;16.732314
430365300;Ebreichsdorf Bahnhof;47.964148;16.419319
430389500;Kledering Bahnhof;48.132453;16.439724
430395300;Klosterneuburg Weidling Bahnhof;48.297585;16.334586
430396300;Korneuburg Bahnhof;48.343574;16.328474
430408400;Leobersdorf Bahnhof;47.937864;16.231300
430423900;Mödling Bahnhof;48.085628;16.295474
430433700;Neulengbach Bahnhof;48.199504;15.892875
430450000;Perchtoldsdorf Bahnhof;48.123023;16.285559
430457400;Pressbaum Bahnhof;48.181184;16.077441
430460300;Purkersdorf bei Wien Zentrum Bahnhof;48.206138;16.175774
430460500;Purkersdorf bei Wien Bahnhof;48.207738;16.189752
430470800;Flughafen Wien Bahnhof;48.120560;16.563659
430471000;Schwechat Bahnhof;48.143195;16.482055
430484800;St. Pölten Hauptbahnhof;48.208196;15.624034
430488400;Stockerau Bahnhof;48.382308;16.213016
430521000;Wiener Neustadt Hauptbahnhof;47.811304;16.233620
430527400;Wolkersdorf Bahnhof;48.378434;16.512672
430575900;Tullnerfeld Bahnhof;48.295140;15.996736
430875900;Ternitz Bahnhof;47.713753;16.033385
490009400;Wien Atzgersdorf;48.147141;16.288634
490016600;Wien Breitensee;48.198236;16.306333
490017600;Wien Brünner Straße;48.267777;16.403588
490028800;Wien Erzherzog-Karl-Straße;48.229564;16.453226
490033400;Wien Floridsdorf;48.256648;16.400208
490034500;Wien Franz-Josefs-Bahnhof;48.226220;16.361222
490039300;Wien Gersthof;48.231146;16.329067
490046000;Wien Hadersdorf;48.210345;16.223552
490046500;Wien Haidestraße;48.179512;16.426690
490048400;Wien Geiselbergstraße;48.175026;16.407040
490049100;Wien Heiligenstadt;48.249070;16.365716
490050500;Wien Hernals;48.223298;16.314945
490051100;Wien Hetzendorf;48.166226;16.314478
490053200;Wien Hirschstetten;48.232683;16.468445
490056000;Wien Hütteldorf;48.197391;16.261073
490058200;Wien Blumental;48.138826;16.369249
490059100;Wien Jedlersdorf;48.273197;16.396927
490065700;Wien Karlsplatz U;48.200888;16.368907
490072300;Wien Krottenbachstraße;48.240054;16.341104
490074300;Wien Mitte-Landstraße;48.206048;16.384584
490076900;Wien Leopoldau;48.277593;16.450691
490078800;Wien Liesing;48.134853;16.284229
490084900;Wien Matzleinsdorfer Platz;48.180419;16.358821
490091000;Wien Aspern Nord;48.234669;16.504456
490094800;Wien Nußdorf;48.260217;16.367658
490095900;Wien Oberdöbling;48.244450;16.344277
490098100;Wien Ottakring;48.211792;16.311376
490100300;Wien Penzing;48.192654;16.305327
490101500;Wien Meidling;48.174271;16.331899
490104000;Wien Praterstern;48.218767;16.392171
490106200;Wien Spittelau;48.235604;16.358201
490109100;Wien Rennweg;48.194766;16.386274
490118400;Wien Schottentor U;48.214489;16.361905
490124800;Wien Siemensstraße;48.270932;16.420748
490125700;Wien Grillgasse;48.166927;16.407309
490126000;Wien Simmering;48.170253;16.419867
490129500;Wien Speising;48.173705;16.283321
490129900;Wien Stadlau;48.219298;16.448534
490130100;Wien Praterkai;48.199602;16.441172
490132000;Wien Stephansplatz U;48.208088;16.371604
490133300;Wien Strebersdorf;48.286061;16.381079
490134600;Wien Quartier Belvedere;48.188024;16.381366
490134900;Wien Hauptbahnhof;48.185184;16.376413
490135700;Wien Süßenbrunn;48.285315;16.484365
490138500;Wien Traisengasse;48.234274;16.383955
490142500;Wien St. Marx;48.188312;16.398895
490145800;Wien Weidlingau S;48.210470;16.212288
490146800;Wien Westbahnhof;48.196654;16.337652
490148200;Wien Wolf in der Au;48.204735;16.236406
490151900;Wien Zentralfriedhof;48.153811;16.426285
490170500;Wien Handelskai;48.241798;16.385223
490178000;Wien Kaiserebersdorf;48.146413;16.465739
